ImageNumber, timeStamp,centerDistance,relativeHeading,Tile
autobot04_1574104055_149842977.jpg,1574104055.149843,0.188,0,asphalt
autobot04_1574104055_184551000.jpg,1574104055.184551,0.188,0,asphalt
autobot04_1574104055_219486951.jpg,1574104055.219487,0.188,0,asphalt
autobot04_1574104055_250277996.jpg,1574104055.250278,0.188,0,asphalt
autobot04_1574104055_283987998.jpg,1574104055.283988,0.188,0,asphalt
autobot04_1574104055_316978931.jpg,1574104055.316979,0.188,0,asphalt
autobot04_1574104055_350863933.jpg,1574104055.350864,0.188,0,asphalt
autobot04_1574104055_384831905.jpg,1574104055.384832,0.188,0,asphalt
autobot04_1574104055_417520046.jpg,1574104055.41752,0.188,0,asphalt
autobot04_1574104055_449625968.jpg,1574104055.449626,0.188,0,asphalt
autobot04_1574104055_482974052.jpg,1574104055.482974,0.188,0,asphalt
autobot04_1574104055_517473936.jpg,1574104055.517474,0.188,0,asphalt
autobot04_1574104055_551327943.jpg,1574104055.551328,0.188,0,asphalt
autobot04_1574104055_582959890.jpg,1574104055.58296,0.188,0,asphalt
autobot04_1574104055_620151996.jpg,1574104055.620152,0.188,0,asphalt
autobot04_1574104055_654376029.jpg,1574104055.654376,0.188,0,asphalt
autobot04_1574104055_683669090.jpg,1574104055.683669,0.188,0,asphalt
autobot04_1574104055_720103025.jpg,1574104055.720103,0.188,0,asphalt
autobot04_1574104055_749696016.jpg,1574104055.749696,0.188,0,asphalt
autobot04_1574104055_784529924.jpg,1574104055.78453,0.188,0,asphalt
autobot04_1574104055_817078113.jpg,1574104055.817078,0.188,0,asphalt
autobot04_1574104055_849634885.jpg,1574104055.849635,0.188,0,asphalt
autobot04_1574104055_884493112.jpg,1574104055.884493,0.188,0,asphalt
autobot04_1574104055_916318893.jpg,1574104055.916319,0.188,0,asphalt
autobot04_1574104055_951025009.jpg,1574104055.951025,0.188,0,asphalt
autobot04_1574104055_983318090.jpg,1574104055.983318,0.188,0,asphalt
autobot04_1574104056_19586086.jpg,1574104056.019586,0.188,0,asphalt
autobot04_1574104056_51026105.jpg,1574104056.051026,0.188,0,asphalt
autobot04_1574104056_84397077.jpg,1574104056.084397,0.188,0,asphalt
